item_id,item_name
10.0,Counter-Strike
20.0,Team Fortress Classic
30.0,Day of Defeat
40.0,Deathmatch Classic
50.0,Half-Life: Opposing Force
60.0,Ricochet
70.0,Half-Life
130.0,Half-Life: Blue Shift
300.0,Day of Defeat: Source
240.0,Counter-Strike: Source
3830.0,Psychonauts
2630.0,Call of Duty 2
3900.0,Sid Meier's Civilization IV
34440.0,Sid Meier's Civilization IV
3920.0,Sid Meier's Pirates!
6400.0,Joint Task Force
6910.0,Deus Ex: Game of the Year Edition
7670.0,BioShock
409710.0,BioShock Remastered
220.0,Half-Life 2
320.0,Half-Life 2: Deathmatch
340.0,Half-Life 2: Lost Coast
360.0,Half-Life Deathmatch: Source
380.0,Half-Life 2: Episode One
400.0,Portal
420.0,Half-Life 2: Episode Two
9340.0,Company of Heroes: Opposing Fronts
228200.0,Company of Heroes (New Steam Version)
11450.0,Overlord
7940.0,Call of Duty 4: Modern Warfare
4700.0,Medieval II: Total War
12900.0,Audiosurf
13250.0,Unreal Gold
16100.0,Virtual Villagers: A New Home
15700.0,Oddworld: Abe's Oddysee
15710.0,Oddworld: Abe's Exoddus
17330.0,Crysis Warhead
17340.0,Crysis Wars
22000.0,World of Goo
500.0,Left 4 Dead
4560.0,Company of Heroes
17460.0,Mass Effect
10500.0,Empire: Total War
24740.0,Burnout Paradise: The Ultimate Box
22200.0,Zeno Clash
26800.0,Braid
1250.0,Killing Floor
35420.0,Killing Floor Mod: Defence Alliance 2
3590.0,Plants vs. Zombies: Game of the Year
8880.0,Freedom Force
8890.0,Freedom Force vs. the 3rd Reich
23120.0,Droplitz
35700.0,Trine
10140.0,3D Ultra Minigolf Adventures Deluxe
35010.0,Batman: Arkham Asylum
35140.0,Batman: Arkham Asylum GOTY Edition
29180.0,Osmos
15520.0,AaAaAA!!! - A Reckless Disregard for Gravity
32370.0,STAR WARS™: Knights of the Old Republic™
37700.0,Darkest of Days
6020.0,STAR WARS™ Jedi Knight: Jedi Academy™
24860.0,Battlefield 2
39530.0,Painkiller: Black Edition
550.0,Left 4 Dead 2
223530.0,Left 4 Dead 2 Beta
8980.0,Borderlands
41500.0,Torchlight
20900.0,The Witcher: Enhanced Edition
10180.0,Call of Duty: Modern Warfare 2
10190.0,Call of Duty: Modern Warfare 2 - Multiplayer
17450.0,Dragon Age: Origins
3170.0,King's Bounty: Armored Princess
25900.0,King's Bounty: The Legend
31410.0,Zombie Driver
24980.0,Mass Effect 2
8850.0,BioShock 2
409720.0,BioShock 2 Remastered
46000.0,Bob Came in Pieces
33230.0,Assassin's Creed II
20820.0,Shatter
47700.0,Command and Conquer 4: Tiberian Twilight
24960.0,Battlefield: Bad Company 2
43110.0,Metro 2033
8190.0,Just Cause 2
49600.0,Beat Hazard
31220.0,Sam & Max 301: The Penal Zone
31230.0,Sam & Max 302: The Tomb of Sammun-Mak
31240.0,Sam & Max 303: They Stole Max's Brain!
31250.0,Sam & Max 304: Beyond the Alley of the Dolls
31260.0,Sam & Max 305: The City that Dares not Sleep
21090.0,F.E.A.R.
21110.0,F.E.A.R.: Extraction Point
21120.0,F.E.A.R.: Perseus Mandate
49400.0,Magic: The Gathering - Duels of the Planeswalkers
33910.0,Arma 2
33930.0,Arma 2: Operation Arrowhead
219540.0,Arma 2: Operation Arrowhead Beta (Obsolete)
17410.0,Mirror's Edge
205790.0,Dota 2 Test
50130.0,Mafia II
62100.0,Chime
31280.0,Poker Night at the Inventory
57300.0,Amnesia: The Dark Descent
21970.0,R.U.S.E
8930.0,Sid Meier's Civilization V
41000.0,Serious Sam HD: The First Encounter
41050.0,Serious Sam Classic: The First Encounter
41060.0,Serious Sam Classic: The Second Encounter
227780.0,Serious Sam Classics: Revolution
18040.0,DeathSpank
22380.0,Fallout: New Vegas
42700.0,Call of Duty: Black Ops
42710.0,Call of Duty: Black Ops - Multiplayer
62000.0,Flight Control HD
40800.0,Super Meat Boy
9500.0,Gish
18700.0,And Yet It Moves
31270.0,Puzzle Agent
58200.0,Jolly Rover
70400.0,Recettear: An Item Shop's Tale
41300.0,Altitude
41800.0,Gratuitous Space Battles
42500.0,DogFighter
49900.0,Plain Sight
55000.0,Flotilla
34330.0,Total War: SHOGUN 2
63200.0,Monday Night Combat
99810.0,Bulletstorm
620.0,Portal 2
42910.0,Magicka
15500.0,The Wonderful End of the World
15540.0,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
18500.0,Defense Grid: The Awakening
26500.0,Cogs
35460.0,The Ball
38700.0,Toki Tori
38720.0,RUSH
63700.0,BIT.TRIP BEAT
280.0,Half-Life: Source
20920.0,The Witcher 2: Assassins of Kings Enhanced Edition
105600.0,Terraria
98200.0,Frozen Synapse
4500.0,S.T.A.L.K.E.R.: Shadow of Chernobyl
4540.0,Titan Quest
4550.0,Titan Quest: Immortal Throne
9480.0,Saints Row 2
15620.0,"Warhammer® 40,000™: Dawn of War® II"
20500.0,Red Faction: Guerrilla Steam Edition
20570.0,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
50620.0,Darksiders
55100.0,Homefront
55140.0,MX vs. ATV Reflex
56400.0,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
475150.0,Titan Quest Anniversary Edition
96100.0,Defy Gravity
35450.0,Rising Storm/Red Orchestra 2 Multiplayer
236830.0,Red Orchestra 2: Heroes of Stalingrad - Single Player
72850.0,The Elder Scrolls V: Skyrim
107100.0,Bastion
57690.0,Tropico 4
91310.0,Dead Island
113200.0,The Binding of Isaac
65800.0,Dungeon Defenders
9200.0,RAGE
41070.0,Serious Sam 3: BFE
48950.0,Greed Corp
92800.0,SpaceChem
104700.0,Super Monday Night Combat
203770.0,Crusader Kings II
203810.0,Dear Esther
110800.0,L.A. Noire
207610.0,The Walking Dead
98300.0,Toy Soldiers
50300.0,Spec Ops: The Line
204300.0,Awesomenauts
1700.0,Arx Fatalis
205100.0,Dishonored
211120.0,The Political Machine
730.0,Counter-Strike: Global Offensive
49520.0,Borderlands 2
200260.0,Batman: Arkham City GOTY
212680.0,FTL: Faster Than Light
200710.0,Torchlight II
219150.0,Hotline Miami
215510.0,Rocketbirds: Hardboiled Chicken
8870.0,BioShock Infinite
200510.0,XCOM: Enemy Unknown
220240.0,Far Cry® 3
218680.0,Scribblenauts Unlimited
228280.0,Baldur's Gate: Enhanced Edition
212070.0,Star Conflict
218230.0,PlanetSide 2
236390.0,War Thunder
3483.0,Peggle Extreme
203160.0,Tomb Raider
227080.0,Papo & Yo
233450.0,Prison Architect
43160.0,Metro: Last Light
219740.0,Don't Starve
322330.0,Don't Starve Together
222730.0,Reus
241600.0,Rogue Legacy
238930.0,"7 Grand Steps, Step 1: What Ancients Begat"
217140.0,Rise of the Triad
39140.0,FINAL FANTASY VII
225080.0,Brothers - A Tale of Two Sons
239030.0,"Papers, Please"
248820.0,Risk of Rain
239350.0,Spelunky
218620.0,PAYDAY 2
206420.0,Saints Row IV
236850.0,Europa Universalis IV
47790.0,Medal of Honor(TM) Single Player
47830.0,Medal of Honor(TM) Multiplayer
250320.0,The Wolf Among Us
250900.0,The Binding of Isaac: Rebirth
204450.0,Call of Juarez Gunslinger
233270.0,Far Cry® 3 Blood Dragon
251990.0,Long Live The Queen
253980.0,Enclave
236450.0,PAC-MAN Championship Edition DX+
242050.0,Assassin's Creed IV Black Flag
257350.0,Baldur's Gate II: Enhanced Edition
213670.0,South Park™: The Stick of Truth™
238010.0,Deus Ex: Human Revolution - Director's Cut
245470.0,Democracy 3
221910.0,The Stanley Parable
260230.0,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™
238430.0,Contagion
261030.0,The Walking Dead: Season Two
261570.0,Ori and the Blind Forest
263980.0,Out There Somewhere
39150.0,FINAL FANTASY VIII
230230.0,Divinity: Original Sin (Classic)
373420.0,Divinity: Original Sin Enhanced Edition
232790.0,Broken Age
237990.0,The Banner Saga
273620.0,Freespace 2
222880.0,Insurgency
225840.0,Sven Co-op
222900.0,Dead Island: Epidemic
280220.0,Creeper World 3: Arc Eternal
236430.0,DARK SOULS™ II
201810.0,Wolfenstein: The New Order
294860.0,Valkyria Chronicles™
295690.0,PARTICLE MACE
238460.0,BattleBlock Theater
237930.0,Transistor
301480.0,GEARCRACK Arena
303390.0,Dead Bits
306660.0,Ultimate General: Gettysburg
316790.0,Grim Fandango Remastered
318430.0,Squishy the Suicidal Pig
241930.0,Middle-earth: Shadow of Mordor
328080.0,Retro-Pixel Castles
282070.0,This War of Mine
