,@K,MAP_test,MAP_train,auc_test,auc_train,epochs,epsilon,item_alpha,k,learning_rate,learning_schedule,loss,max_sampled,model_name,n,no_components,random_state,rho,time,user_alpha
0,20.0,0.07237127423286438,0.2969856262207031,0.8780896067619324,0.9057232141494751,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,5.0,RandomState(MT19937),0.95,292.13009667396545,0.0
1,20.0,0.0804956778883934,0.29171353578567505,0.9900835752487183,0.9918962121009827,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,5.0,RandomState(MT19937),0.95,281.96447491645813,0.0
2,20.0,0.0666768029332161,0.3163447678089142,0.8778356909751892,0.9172257781028748,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,10.0,RandomState(MT19937),0.95,380.37775707244873,0.0
3,20.0,0.08157345652580261,0.297218918800354,0.990510880947113,0.9927549362182617,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,10.0,RandomState(MT19937),0.95,360.96169805526733,0.0
4,20.0,0.06458532065153122,0.3296869695186615,0.8756771683692932,0.9216581583023071,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,15.0,RandomState(MT19937),0.95,1953.4228229522705,0.0
5,20.0,0.08372736722230911,0.3070763945579529,0.9908708930015564,0.993375301361084,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,15.0,RandomState(MT19937),0.95,378.7860150337219,0.0
6,20.0,0.06250534951686859,0.33794981241226196,0.8732993006706238,0.926863968372345,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,20.0,RandomState(MT19937),0.95,478.3895950317383,0.0
7,20.0,0.08404529094696045,0.31001919507980347,0.9909842014312744,0.9937251806259155,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,20.0,RandomState(MT19937),0.95,491.06657791137695,0.0
8,20.0,0.06089195981621742,0.3466282784938812,0.8668964505195618,0.9292516708374023,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,25.0,RandomState(MT19937),0.95,586.6836659908295,0.0
9,20.0,0.08464331179857254,0.31377553939819336,0.9911057353019714,0.9941079616546631,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,25.0,RandomState(MT19937),0.95,584.7244710922241,0.0
10,20.0,0.05904199182987213,0.3528372049331665,0.8634374737739563,0.9325564503669739,5.0,1e-06,0.0,5.0,0.05,adagrad,bpr,10.0,PureCF,10.0,30.0,RandomState(MT19937),0.95,646.1858999729156,0.0
11,20.0,0.08421040326356888,0.313183456659317,0.9910492300987244,0.9941142797470093,5.0,1e-06,0.0,5.0,0.05,adagrad,warp,10.0,PureCF,10.0,30.0,RandomState(MT19937),0.95,650.8841059207916,0.0
