item_id,popularity
205790,48705
730,42894
4000,42406
304930,37883
223530,36282
550,36282
105600,28633
230410,25229
620,23951
240,23687
218620,23175
72850,21793
301520,21276
49520,20551
218230,20246
340,19400
227940,19252
400,18371
220,17899
236390,17737
333930,16777
208090,16133
8190,15901
252490,15835
224260,15608
232210,15549
219640,15547
320,15514
322330,15202
8930,14938
24240,14841
33930,14772
219540,14767
55230,14420
33910,14358
243870,14291
1250,13878
35420,13670
304050,13623
222900,13110
360,13039
380,12987
22380,12806
420,12776
238960,12673
219740,12353
42910,11974
200210,11850
8870,11709
252950,11311
204360,11249
113200,11183
222880,11086
91310,11018
43110,11007
221100,10657
17410,10612
291480,10505
265630,10455
407530,10244
323370,10236
7670,10070
409710,10070
291550,10035
104900,9943
12210,9825
206420,9770
63380,9647
212680,9642
346900,9591
224580,9589
209870,9542
20920,9528
203160,9502
10,9489
211820,9435
367540,9434
99900,9315
265930,9226
6060,9025
363970,8945
8980,8929
224540,8843
377160,8814
8850,8811
409720,8811
221380,8810
203140,8799
238460,8712
248570,8683
200710,8653
233720,8648
100,8610
80,8610
35450,8531
204300,8506
48000,8493
273350,8478
200260,8471
271590,8428
57300,8361
40800,8333
220240,8318
271290,8145
346110,8114
200510,8057
386360,8049
113400,8028
273110,7995
219150,7974
202090,7894
201790,7881
12220,7715
228200,7656
224600,7617
244850,7598
70,7579
107410,7555
4920,7541
312990,7537
31280,7515
205100,7513
4560,7424
108800,7405
212910,7351
202970,7351
202990,7351
9480,7315
227700,7089
109600,7074
17470,7073
210770,7061
253710,7009
24740,6976
211420,6971
209080,6958
35140,6953
239220,6837
223710,6833
48700,6787
226320,6744
221910,6737
242760,6696
107100,6686
236830,6617
65800,6613
282440,6591
205930,6534
22370,6490
35720,6482
500,6471
317360,6452
233450,6447
207610,6416
218680,6378
70000,6315
236110,6306
206210,6296
51100,6255
9340,6227
20,6202
2430,6189
2400,6189
2420,6165
39120,6152
50,6143
17080,6113
50620,6101
113020,6083
130,6064
248820,5954
15620,5944
47790,5902
47830,5902
10190,5851
10180,5851
241930,5846
20900,5822
32370,5759
223470,5713
261640,5629
91600,5602
57690,5576
42710,5500
42700,5500
34330,5477
12120,5449
12250,5444
216250,5388
250900,5387
319630,5362
220200,5347
239030,5330
41070,5328
34270,5249
